"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1940771","Oded  Nov and Ofer  Arazy and David  Anderson","","","","Dusting for Science: Motivation and Participation of Digital Citizen Science Volunteers","68--74","","7","citizen science, crowdsourcing, motivation, participation, stardust@home","10.1145/1940761.1940771","","","","","","","2011","","Proceedings of the 2011 iConference","iConference '11","","978-1-4503-0121-3","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2675295","Saiph  Savage and Andr&#233;s  Monroy-Hern&#225;ndez","","","","Participatory Militias: An Analysis of an Armed Movement's Online Audience","724--733","","10","crisis informatics, online audience, social media","10.1145/2675133.2675295","","","","","","","2015","","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '15","","978-1-4503-2922-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1835983","Andrew  Hilts and Eric  Yu","","","","Modeling Social Media Support for the Elicitation of Citizen Opinion","3:1--3:4","3","4","collaborative filters, conceptual modeling, e-government, istar, social media","10.1145/1835980.1835983","","","","","","","2010","","Proceedings of the International Workshop on Modeling Social Media","MSM '10","","978-1-4503-0229-6","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","1693127","Ricardo  Matheus and Manuella Maia Ribeiro","","","","Public Online Consultation of Federal Ministries and Federal Regulatory Agencies in Brazil","390--391","","2","Brazil, e-governance, e-government, federal government, public online consultation","10.1145/1693042.1693127","","","","","","","2009","","Proceedings of the 3rd International Conference on Theory and Practice of Electronic Governance","ICEGOV '09","","978-1-60558-663-2","Bogota, Colombia","ACM","New York, NY, USA"
"article","1753485","Ban  Al-Ani and Gloria  Mark and Bryan  Semaan","","","","Blogging in a Region of Conflict: Supporting Transition to Recovery","1069--1078","","10","blogs, community, disrupted environment, empirical study, understanding the user","10.1145/1753326.1753485","","","","","","","2010","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '10","","978-1-60558-929-9","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1666626","Jorge Ferreira Franco and Roseli  de Deus Lopes","","","","Three-dimensional Digital Enviroments and Computer Graphics Influencing K-12 Individuals' Digital Literacy Development and Interdisciplinary Lifelong Learning","15:1--15:8","15","8","cognitive development, culture, digital art, information visualization, lifelong learning, virtual reality","10.1145/1666611.1666626","","","","","","","2009","","ACM SIGGRAPH ASIA 2009 Educators Program","SIGGRAPH ASIA '09","","","Yokohama, Japan","ACM","New York, NY, USA"
"article","2738017","Michael L. Best and Amanda  Meng","","","","Twitter Democracy: Policy Versus Identity Politics in Three Emerging African Democracies","20:1--20:10","20","10","Africa, Twitter, democracy, elections, social media, text analysis","10.1145/2737856.2738017","","","","","","","2015","","Proceedings of the Seventh International Conference on Information and Communication Technologies and Development","ICTD '15","","978-1-4503-3163-0","Singapore, Singapore","ACM","New York, NY, USA"
"article","2441942","Andrea  Wiggins","","","","Free As in Puppies: Compensating for Ict Constraints in Citizen Science","1469--1480","","12","case study, citizen science, data quality, distributed work, scientific collaboration, technology-mediated participation","10.1145/2441776.2441942","","","","","","","2013","","Proceedings of the 2013 Conference on Computer Supported Cooperative Work","CSCW '13","","978-1-4503-1331-5","San Antonio, Texas, USA","ACM","New York, NY, USA"
"article","1754187","Henry Been-Lirn  Duh and Ellen Yi-Luen  Do and Mark  Billinghurst and Francis  Quek and Vivian Hsueh-Hua  Chen","","","","Senior-friendly Technologies: Interaction Design for Senior Users","4513--4516","","4","design, elderly, games, mobile game design, mobile phone, older users, senior citizens, technology","10.1145/1753846.1754187","","","","","","","2010","","CHI '10 Extended Abstracts on Human Factors in Computing Systems","CHI EA '10","","978-1-60558-930-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2399046","Matthias  Korn and Jon  Back","","","","Talking It Further: From Feelings and Memories to Civic Discussions in and About Places","189--198","","10","civic engagement, collaborative and locative storytelling, emotions, mobile phones, pervasive play, youth","10.1145/2399016.2399046","","","","","","","2012","","Proceedings of the 7th Nordic Conference on Human-Computer Interaction: Making Sense Through Design","NordiCHI '12","","978-1-4503-1482-4","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","2816941","Morito  Matsuoka and Naonori  Ueda and Hideyuki  Tokuda and Rodger  Lea and Luis  Mu&#241;oz","","","","SmartCities'15: International Workshop on Smart Cities: People, Technology and Data","1509--1513","","5","city application, city field experiences, data analysis, data collection, middleware, smart city, system","10.1145/2800835.2816941","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2768546","Susanne  B&#248;dker and P&#228;r-Ola  Zander","","","","Participation in Design Between Public Sector and Local Communities","49--58","","10","e-government, municipalities, participatory design, web 2.0","10.1145/2768545.2768546","","","","","","","2015","","Proceedings of the 7th International Conference on Communities and Technologies","C&#38;T '15","","978-1-4503-3460-0","Limerick, Ireland","ACM","New York, NY, USA"
"article","2807950","Sarah  Gallacher and Connie  Golsteijn and Vaiva  Kalnikaite and Steven  Houben and Rose  Johnson and Daniel  Harrison and Nicolai  Marquardt","","","","SenCity 2: Visualizing the Hidden Pulse of a City","1391--1394","","4","cities, physical visualization, urban data, workshop","10.1145/2800835.2807950","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","1999380","P. S. Acharya and S. K. Ghosh and S. C. De Sarkar","","","","Natural Resources Data Management System (NRDMS): A Suite of Web-accessible Geo-spatial Data Processing Tools for e-Governance in India","59:1--59:1","59","1","","10.1145/1999320.1999380","","","","","","","2011","","Proceedings of the 2Nd International Conference on Computing for Geospatial Research & Applications","COM.Geo '11","","978-1-4503-0681-2","Washington, DC, USA","ACM","New York, NY, USA"
"article","2598563","Sarah  Fox and Christopher  Le Dantec","","","","Community Historians: Scaffolding Community Engagement Through Culture and Heritage","785--794","","10","civic engagement, community informatics, participatory design, publics","10.1145/2598510.2598563","","","","","","","2014","","Proceedings of the 2014 Conference on Designing Interactive Systems","DIS '14","","978-1-4503-2902-6","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2037602","Taewoo  Nam and Theresa A. Pardo","","","","Conceptualizing Smart City with Dimensions of Technology, People, and Institutions","282--291","","10","governance, infrastructure integration, service integration, smart city, smart technology","10.1145/2037556.2037602","","","","","","","2011","","Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times","dg.o '11","","978-1-4503-0762-8","College Park, Maryland, USA","ACM","New York, NY, USA"
"article","2591901","Jeremy  Millard","","","","ICT-enabled Public Sector Innovation: Trends and Prospects","77--86","","10","government as a platform, open assets, open engagement, open governance, open services, public value","10.1145/2591888.2591901","","","","","","","2013","","Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance","ICEGOV '13","","978-1-4503-2456-4","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2873064","Linlin  You and Gianmario  Motta and Kaixu  Liu and Tianyi  Ma","","","","CITY FEED: A Pilot System of Citizen-Sourcing for City Issue Management","53:1--53:25","53","25","Crowdsourcing, citizen-sourced city issue management, citizen-sourcing, city service maturity framework, feed deduplication","10.1145/2873064","ACM Trans. Intell. Syst. Technol.","March 2016","7","4","","March","2016","2157-6904","","","","","","ACM","New York, NY, USA"
"article","2641205","In&#234;s  Rodolfo and Liliana  Laranjo and Nuno  Correia and Carlos  Duarte","","","","Design Strategy for a National Integrated Personal Health Record","411--420","","10","card sorting, eHealth, health communication, participatory design, personal health records, user experience design","10.1145/2639189.2641205","","","","","","","2014","","Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational","NordiCHI '14","","978-1-4503-2542-4","Helsinki, Finland","ACM","New York, NY, USA"
"article","2757246","Stacey  Kuznetsov and Aniket  Kittur and Eric  Paulos","","","","Biological Citizen Publics: Personal Genetics As a Site of Public Engagement with Science","303--312","","10","biological citizenship, genetics, publics, scientific literacy","10.1145/2757226.2757246","","","","","","","2015","","Proceedings of the 2015 ACM SIGCHI Conference on Creativity and Cognition","C&#38;C '15","","978-1-4503-3598-0","Glasgow, United Kingdom","ACM","New York, NY, USA"
"article","2037634","Scott P. Robertson and Elizabeth A. Buie and Dianne  Murray","","","","Interaction Design for Citizen Engagement and Digital Government","376--377","","2","citizen engagement, digital government, e-participation","10.1145/2037556.2037634","","","","","","","2011","","Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times","dg.o '11","","978-1-4503-0762-8","College Park, Maryland, USA","ACM","New York, NY, USA"
"article","2145238","Dana  Rotman and Jenny  Preece and Jen  Hammock and Kezee  Procita and Derek  Hansen and Cynthia  Parr and Darcy  Lewis and David  Jacobs","","","","Dynamic Changes in Motivation in Collaborative Citizen-science Projects","217--226","","10","citizen science, collaboration, crowdsourcing, ecology, motivation, scientists, volunteers","10.1145/2145204.2145238","","","","","","","2012","","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work","CSCW '12","","978-1-4503-1086-4","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2470765","Rosta  Farzan and Robert E. Kraut","","","","Wikipedia Classroom Experiment: Bidirectional Benefits of Students' Engagement in Online Production Communities","783--792","","10","experiment, online volunteer community, socialization","10.1145/2470654.2470765","","","","","","","2013","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '13","","978-1-4503-1899-0","Paris, France","ACM","New York, NY, USA"
"article","1565796","Diana  Burley","","","","Information Technology in Social Entrepreneurship: The Role and the Reality","11--14","","4","information technology, social entrepreneurship","10.1145/1565795.1565796","SIGCAS Comput. Soc.","June 2009","39","1","","June","2009","0095-2737","","","","","","ACM","New York, NY, USA"
"article","2442957","Dong-Po  Deng and Tyng-Ruey  Chuang and Kwang-Tsao  Shao and Guan-Shuo  Mai and Te-En  Lin and Rob  Lemmens and Cheng-Hsin  Hsu and Hsu-Hong  Lin and Menno-Jan  Kraak","","","","Using Social Media for Collaborative Species Identification and Occurrence: Issues, Methods, and Tools","22--29","","8","Facebook, citizen science, linking open data, social media, volunteered geographic information","10.1145/2442952.2442957","","","","","","","2012","","Proceedings of the 1st ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information","GEOCROWD '12","","978-1-4503-1694-1","Redondo Beach, California","ACM","New York, NY, USA"
"article","2591916","Enrique Cusba Garc&#237;a","","","","Fostering e-Participation in Colombia","170--173","","4","crystal ballot box, e-government, e-participation, vive digital","10.1145/2591888.2591916","","","","","","","2013","","Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance","ICEGOV '13","","978-1-4503-2456-4","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2103357","Christopher M. Mascaro and Sean P. Goggins","","","","Brewing Up Citizen Engagement: The Coffee Party on Facebook","11--20","","10","deliberative discourse, democratic discourse, group formation, issue entrepreneurship, politics, social networking","10.1145/2103354.2103357","","","","","","","2011","","Proceedings of the 5th International Conference on Communities and Technologies","C&#38;T '11","","978-1-4503-0824-3","Brisbane, Australia","ACM","New York, NY, USA"
"article","2611015","Fabius  Steinberger and Marcus  Foth and Florian  Alt","","","","Vote With Your Feet: Local Community Polling on Urban Screens","44:44--44:49","44","6","Polling, civic engagement, public displays, tangible media, ubiquitous computing, urban computing, urban informatics, voting","10.1145/2611009.2611015","","","","","","","2014","","Proceedings of The International Symposium on Pervasive Displays","PerDis '14","","978-1-4503-2952-1","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","1499226","W. Lewis Johnson","","","","Developing Intercultural Competence Through Videogames","99--100","","2","cultural competence, cultural learning, cultural proficiency","10.1145/1499224.1499226","","","","","","","2009","","Proceedings of the 2009 International Workshop on Intercultural Collaboration","IWIC '09","","978-1-60558-502-4","Palo Alto, California, USA","ACM","New York, NY, USA"
"article","2830651","Ken  Banks","","","","Hackers, Fixers and Lone Rangers: The Future of Technology for Development?","1--1","","1","accessibility, global development, ictd","10.1145/2830629.2830651","","","","","","","2015","","Proceedings of the 2015 Annual Symposium on Computing for Development","DEV '15","","978-1-4503-3490-7","London, United Kingdom","ACM","New York, NY, USA"
"proceeding","2248326","","","","Program Chair-Kamesh  Namuduri and Program Chair-Robert  Ulman and Program Chair-Robert  Bonneau","","","","","","","","","","","","","2012","","Proceedings of the First ACM MobiHoc Workshop on Airborne Networks and Communications","","","978-1-4503-1290-5","Hilton Head, South Carolina, USA","ACM","New York, NY, USA"
"proceeding","2491260","","","","Program Chair-P. R. Kumar and Program Chair-Debasish  Ghose and Program Chair-Kamesh  Namuduri and Program Chair-Yan  Wan","","","","","","","","","","","","","2013","","Proceedings of the Second ACM MobiHoc Workshop on Airborne Networks and Communications","","","978-1-4503-2208-9","Bangalore, India","ACM","New York, NY, USA"
"article","2584576","Juliet  Sprake and Peter  Rogers","","","","Crowds, Citizens and Sensors: Process and Practice for Mobilising Learning","753--764","","12","Citizen, Crowd sourcing, Location-based learning, Participatory sensing","10.1007/s00779-013-0715-6","Personal Ubiquitous Comput.","March     2014","18","3","","March","2014","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"proceeding","2662155","","","","General Chair-Heike  Winschiers-Theophilus and General Chair-Vincenzo  D'Andrea and Program Chair-Ole Sejer Iversen","","","","","","","","","","","","","2014","","Proceedings of the 13th Participatory Design Conference: Short Papers, Industry Cases, Workshop Descriptions, Doctoral Consortium Papers, and Keynote Abstracts - Volume 2","","","978-1-4503-3214-9","Windhoek, Namibia","ACM","New York, NY, USA"
"article","1738884","Patrick G. Watson and Penny  Duquenoy and Margaret  Brennan and Matt  Jones and James  Walkerdine","","","","Towards an Ethical Interaction Design: The Issue of Including Stakeholders in Law-enforcement Software Development","313--316","","4","ethics centred development, new public management, participatory design, socio-technical considerations, stakeholder engagement","10.1145/1738826.1738884","","","","","","","2009","","Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7","OZCHI '09","","978-1-60558-854-4","Melbourne, Australia","ACM","New York, NY, USA"
"article","2508438","Alexander  Hanna and Chris  Wells and Peter  Maurer and Lew  Friedland and Dhavan  Shah and J&#246;rg  Matthes","","","","Partisan Alignments and Political Polarization Online: A Computational Approach to Understanding the French and US Presidential Elections","15--22","","8","cross-national comparison, networks, political polarization, politics, presidential debates, twitter","10.1145/2508436.2508438","","","","","","","2013","","Proceedings of the 2Nd Workshop on Politics, Elections and Data","PLEAD '13","","978-1-4503-2418-2","San Francisco, California, USA","ACM","New York, NY, USA"
"article","2702291","Phil  Brooker and John  Vines and Selina  Sutton and Julie  Barnett and Tom  Feltwell and Shaun  Lawson","","","","Debating Poverty Porn on Twitter: Social Media As a Place for Everyday Socio-Political Talk","3177--3186","","10","live-tweeting, social media, politics, television, welfare","10.1145/2702123.2702291","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems","CHI '15","","978-1-4503-3145-6","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2809970","Joseph  Mertz","","","","Computing for the Social Good and Cultivating Cultures for Ethical Computing","39--40","","2","HFOSS, computer science education, computers and society, ethical computing, evaluation, humanitarian computing, open source software, service learning","10.1145/2809957.2809970","SIGCAS Comput. Soc.","June 2015","45","2","","July","2015","0095-2737","","","","","","ACM","New York, NY, USA"
"article","2830634","Meenal  Pore and Nuri  Purswani and Reginald E. Bryant and Purity  Mugambi and Osamuyimen  Stewart","","","","Towards a 2-Way Communication and Analytics Platform for Emergency Response and Post-Emergency Recovery Efforts in Sierra Leone","31--31","","1","behavior change, ebola, public health, sms","10.1145/2830629.2830634","","","","","","","2015","","Proceedings of the 2015 Annual Symposium on Computing for Development","DEV '15","","978-1-4503-3490-7","London, United Kingdom","ACM","New York, NY, USA"
"proceeding","2145204","","","","General Chair-Steven  Poltrock and General Chair-Carla  Simone and Program Chair-Jonathan  Grudin and Program Chair-Gloria  Mark and Program Chair-John  Riedl","","","","","","","","","","","","","2012","","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work","","","978-1-4503-1086-4","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2898470","Mark&#233;ta  Dolej&#353;ov&#225;a and Denisa  Kera","","","","Fermentation GutHub: Designing for Food Sustainability in Singapore","69--76","","8","DIY cultures, Fermentation, HCI for food sustainability, Peer production","10.1145/2898459.2898470","","","","","","","2016","","Proceedings of the The 2th International Conference in HCI and UX on Indonesia 2016","CHIuXiD '16","","978-1-4503-4044-1","Jakarta, Indonesia","ACM","New York, NY, USA"
"article","2347649","Susanne  B&#248;dker and Ellen  Christiansen and Tom  Nyvang and P&#228;r-Ola  Zander","","","","Personas, People and Participation: Challenges from the Trenches of Local Government","91--100","","10","design, eGovernment, participation, personas","10.1145/2347635.2347649","","","","","","","2012","","Proceedings of the 12th Participatory Design Conference: Research Papers - Volume 1","PDC '12","","978-1-4503-0846-5","Roskilde, Denmark","ACM","New York, NY, USA"
"proceeding","2141512","","","","General Chair-Steven  Poltrock and General Chair-Carla  Simone and Program Chair-Jonathan  Grudin and Program Chair-Gloria  Mark and Program Chair-John  Riedl","","","","","","","","","","","","","2012","","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work Companion","","","978-1-4503-1051-2","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","1854534","Joseph L. Polman and E. Wendy Saul and Alan  Newman and Cathy  Farrar and Nancy  Singer and Eric  Turley and Laura  Pearce and Jennifer  Hope and Glenda  McCarty and Cynthia  Graville","","","","A Cognitive Apprenticeship for Science Literacy Based on Journalism","61--68","","8","","","","","","","","","2010","","Proceedings of the 9th International Conference of the Learning Sciences - Volume 2","ICLS '10","","","Chicago, Illinois","International Society of the Learning Sciences",""
"article","2071555","Marcus  Foth and Ronald  Schroeter and Irina  Anastasiu","","","","Fixing the City One Photo at a Time: Mobile Logging of Maintenance Requests","126--129","","4","city maintenance, civic engagement, human-computer interaction, mobile applications, mobile interaction design, urban informatics","10.1145/2071536.2071555","","","","","","","2011","","Proceedings of the 23rd Australian Computer-Human Interaction Conference","OzCHI '11","","978-1-4503-1090-1","Canberra, Australia","ACM","New York, NY, USA"
"article","2501960","C&#233;dric  Bach and Regina  Bernhaupt and Caio Stein D'Agostini and Marco  Winckler","","","","Mobile Applications for Incident Reporting Systems in Urban Contexts: Lessons Learned from an Empirical Study","29:1--29:10","29","10","government, incident reporting, mobile, user experience","10.1145/2501907.2501960","","","","","","","2013","","Proceedings of the 31st European Conference on Cognitive Ergonomics","ECCE '13","","978-1-4503-2251-5","Toulouse, France","ACM","New York, NY, USA"
"article","2307757","Joonsuk  Park and Sally  Klingel and Claire  Cardie and Mary  Newhart and Cynthia  Farina and Joan-Josep  Vallb&#233;","","","","Facilitative Moderation for Online Participation in eRulemaking","173--182","","10","","10.1145/2307729.2307757","","","","","","","2012","","Proceedings of the 13th Annual International Conference on Digital Government Research","dg.o '12","","978-1-4503-1403-9","College Park, Maryland, USA","ACM","New York, NY, USA"
"article","1843082","Daniela  Fogli and Loredana Parasiliti Provenza and Sergio  Colosio","","","","Metadesigning e-Government Services: A Case Study in a Local Agency","406--406","","1","","10.1145/1842993.1843082","","","","","","","2010","","Proceedings of the International Conference on Advanced Visual Interfaces","AVI '10","","978-1-4503-0076-6","Roma, Italy","ACM","New York, NY, USA"
"article","2591949","Neeta  Verma and M. P. Gupta","","","","Open Government Data: Beyond Policy &#38; Portal, a Study in Indian Context","338--341","","4","capacity building, challenges, ecosystem, institutionalization, open government data","10.1145/2591888.2591949","","","","","","","2013","","Proceedings of the 7th International Conference on Theory and Practice of Electronic Governance","ICEGOV '13","","978-1-4503-2456-4","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2557197","Munmun  De Choudhury and Andr&#233;s  Monroy-Hern&#225;ndez and Gloria  Mark","","","","Narco Emotions: Affect and Desensitization in Social Media During the Mexican Drug War","3563--3572","","10","affect, crisis informatics, desensitization, social media","10.1145/2556288.2557197","","","","","","","2014","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '14","","978-1-4503-2473-1","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2463743","Francesco  Mureddu and Gianluca  Misuraca and David  Osimo and Stefano  Armenia","","","","A New Roadmap for Next-generation Policy-making","62--66","","5","ICT tools, governance analysis and evaluation, modelling and simulation, policy making 2.0, stakeholders' engagement, system dynamics","10.1145/2463728.2463743","","","","","","","2012","","Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance","ICEGOV '12","","978-1-4503-1200-4","Albany, New York, USA","ACM","New York, NY, USA"
"article","1592712","Yin-Leng  Theng and Amirrudin Bin Dahlan and Meutia Latifah Akmal and Thant Zin Myint","","","","An Exploratory Study on Senior Citizens' Perceptions of the Nintendo Wii: The Case of Singapore","10:1--10:5","10","5","Wii, elderly, perceived usability and perceived usefulness, senior citizens, technology acceptance model","10.1145/1592700.1592712","","","","","","","2009","","Proceedings of the 3rd International Convention on Rehabilitation Engineering & Assistive Technology","i-CREATe '09","","978-1-60558-792-9","Singapore","ACM","New York, NY, USA"
"article","2598180","Till  Nagel and Martina  Maitan and Erik  Duval and Andrew Vande Moere and Joris  Klerkx and Kristian  Kloeckl and Carlo  Ratti","","","","Touching Transport - a Case Study on Visualizing Metropolitan Public Transit on Interactive Tabletops","281--288","","8","data visualization, exhibition, multi-touch, urban mobility","10.1145/2598153.2598180","","","","","","","2014","","Proceedings of the 2014 International Working Conference on Advanced Visual Interfaces","AVI '14","","978-1-4503-2775-6","Como, Italy","ACM","New York, NY, USA"
"proceeding","2636582","","","","Program Chair-Kamesh  Namuduri and Program Chair-Yan  Wan and Program Chair-Mahadevan  Gomathisankaran","","","","","","","","","","","","","2014","","Proceedings of the Third ACM Workshop on Airborne Networks and Communications","","","978-1-4503-2985-9","Philadelphia, Pennsylvania, USA","ACM","New York, NY, USA"
